Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity
8/12/2002,234.65,237.75,243.3,234.3,240.7,240.95,4440241
8/13/2002,240.95,242.5,244,241.3,242.5,242.55,1554070
8/14/2002,242.55,242.1,243.5,238.15,238.65,238.55,2417646
8/16/2002,238.55,241,243.9,240.3,243,242.8,1975544
8/19/2002,242.8,244.1,246.7,244.1,245.75,245.25,2054911
8/20/2002,245.25,246.5,250.5,245.4,249.5,248.9,3269448
8/21/2002,248.9,249.05,251.05,244.8,245.3,245.2,1991301
8/22/2002,245.2,247,249.4,246,247.3,247.65,1792486
8/23/2002,247.65,249.9,250.45,246.6,249.15,249.75,1411719
8/26/2002,249.75,250.05,252.8,249.2,250.45,250.95,1648160
8/27/2002,250.95,260,260,246,247,246.6,1337440
8/28/2002,246.6,245.5,247,244.2,246,245.7,956877
8/29/2002,245.7,245,250,244.6,249.55,249.6,2058052
8/30/2002,249.6,250.7,256.4,249,255.3,255.5,3381295
9/2/2002,255.5,260,268,260,265.3,265.25,4126554
9/3/2002,265.25,266.4,266.9,261.1,265.85,264.3,2146322
9/4/2002,264.3,262,270.95,261,268.75,269.3,4934888
9/5/2002,269.3,270,270.85,265,265,265.95,2123615
9/6/2002,265.95,266,268.4,263.25,266.2,265.65,2514536
9/9/2002,265.65,264.9,266,257.75,260.65,260.95,2470540
9/11/2002,260.95,261,262.1,256.5,257.25,257.4,2066219
9/12/2002,257.4,257.8,263.65,257.5,260.45,260.5,2786878
9/13/2002,260.5,261.15,264.95,257.7,258.9,259,3702270
9/16/2002,259,260,261.2,257,257.9,258.05,2115338
9/17/2002,258.05,258.25,262.95,258.25,262.3,261.6,1336037
9/18/2002,261.6,260,261.8,258,258.5,258.65,1227802
9/19/2002,258.65,259.45,259.45,255.5,258.95,258.1,1510321
9/20/2002,258.1,255,257.4,253.05,255.6,255.5,1757760
9/23/2002,255.5,257,261.95,255,261.15,260,1821705
9/24/2002,260,259,261.3,254.3,256,255.5,2417212
9/25/2002,255.5,254.1,255.95,252,255.9,255.35,1211786
9/26/2002,307,0,0,0,0,229,86
9/26/2002,255.35,257,257.1,254.75,255.5,255.7,584209
9/27/2002,255.7,255.75,259.5,253.8,258.3,257.95,1865491
9/30/2002,257.95,257.25,260,257.1,258,258.05,2254774
10/1/2002,258.05,256.1,257.5,249.05,249.5,250,2075680
10/3/2002,250,249,249.5,240.5,241.6,242.1,4891437
10/4/2002,242.1,241.1,241.85,235.05,235.3,236.15,3961069
10/7/2002,236.15,235,241.65,234.6,239.3,240.15,2026576
10/8/2002,240.15,240.65,243.8,239.8,242,242.35,1331793
10/9/2002,242.35,242.75,243.4,237.7,238.1,238.4,1444782
10/10/2002,238.4,237,239.4,235.25,237.2,236.9,1495105
10/11/2002,236.9,251,251,238.1,239.3,239.6,1287555
10/14/2002,239.6,241,243.4,240,241.9,242.2,1047072
10/16/2002,242.2,243.5,247.25,242.8,243.5,244.2,1966995
10/17/2002,244.2,243.5,244.8,241.65,243.6,243.65,1207311
10/18/2002,243.65,244.7,247.35,241.55,242.3,242.9,1421229
10/21/2002,242.9,244,244.2,241.2,242.1,242.15,792887
10/22/2002,242.15,243.1,243.3,239.05,240.35,239.95,1114776
10/23/2002,239.95,237.8,237.8,235.4,235.6,235.95,1364316
10/24/2002,235.95,235,237,229.1,229.35,229.9,2871456
10/25/2002,229.9,229.5,230.9,221.55,223.55,223.05,4726002
10/28/2002,223.05,222.8,224.6,218.05,218.65,219.8,2880309
10/29/2002,219.8,225.5,232.5,224.1,231,230.55,5708486
10/30/2002,230.55,232.6,235.9,232.6,235,234.4,3855740
10/31/2002,234.4,237.05,269.4,237.05,266,265.5,36393864
11/1/2002,265.5,265.8,267.7,251.75,256.9,257.75,22687604
11/4/2002,257.75,263.05,264.3,260.3,262.75,263.25,5166758
11/5/2002,263.25,265,265,259.7,262.3,261.2,5126794
11/7/2002,261.2,263.5,271.35,257.6,258,259.65,8984720
11/8/2002,259.65,254,262.15,254,257.7,258,6836817
11/11/2002,258,258,258.4,254.55,256,256,2908551
11/12/2002,256,254,261.7,253.65,261.7,260.8,5578331
11/13/2002,260.8,269.75,269.75,260.4,262.25,262.85,8159262
11/14/2002,262.85,263.5,265.7,262.25,265.4,264.9,5058403
11/15/2002,264.9,267.1,269.5,266.1,268.3,268.2,4908203
11/18/2002,268.2,268,276.8,267.1,271.4,271.85,6630375
11/20/2002,271.85,272.5,277.9,271,273,273.45,7450726
11/21/2002,273.45,275.25,277,273.3,274.95,274.7,4353172
11/22/2002,274.7,276.5,288.4,276.5,284.75,285.35,13556557
11/25/2002,285.35,284.5,291.7,281.75,286.1,286.55,9464779
11/26/2002,286.55,289.7,295.8,289.55,291.55,292.4,13852575
11/27/2002,292.4,291.5,292.95,286.15,288,287.3,7021521
11/28/2002,287.3,290,292.95,289.15,291.3,290.8,7071612
11/29/2002,290.8,292.5,294.75,283.75,288.8,287.9,7928814
12/2/2002,287.9,289.9,297.15,288,295.2,294.55,5907463
12/3/2002,294.55,297.95,301.75,289.5,290.9,291.35,7823413
12/4/2002,291.35,293,294.35,286.8,293,292.5,9168904
12/5/2002,292.5,294.7,297.9,292.5,292.75,294.4,6537126
12/6/2002,294.4,295.1,299,293.05,296.75,296.15,3669736
12/9/2002,296.15,299,304.25,291.25,293,292.95,8159296
12/10/2002,292.95,290.9,294.25,288.1,293.75,293.35,4599603
12/11/2002,293.35,294.9,296.9,290.6,293,292.65,4144766
12/12/2002,292.65,293,294.55,290.15,293.8,293.85,4006333
12/13/2002,293.85,288,298.7,288,297.5,296.95,3790765
12/16/2002,296.95,302,302,295,296,295.7,6677302
12/17/2002,295.7,296.3,297.8,292.05,294.05,294.1,4945501
12/18/2002,294.1,294.55,295.9,288.65,289.5,289.9,3553239
12/19/2002,289.9,289.5,290.4,285.85,289.6,289.1,3871518
12/20/2002,289.1,289,292.85,289,290.4,290.8,3651142
12/23/2002,290.8,291.95,292,288.55,289.25,289.65,2523244
12/24/2002,289.65,289.25,292.25,282.2,291.9,291.55,3709924
12/26/2002,291.55,292.75,302.7,292.5,299.25,300.5,10948599
12/27/2002,300.5,302.5,306.4,297.2,297.75,298.9,10349750
12/30/2002,298.9,297,299.15,294.1,299.15,297.5,4170639
12/31/2002,297.5,299.9,299.9,297.05,297.35,297.95,3793216
1/1/2003,297.95,300.8,301.5,297.1,297.5,297.8,3385535
1/2/2003,297.8,298.85,298.85,292.6,293,293.5,2866903
1/3/2003,293.5,295.1,295.35,287.1,287.35,287.95,5194550
1/6/2003,287.95,287.65,288.45,284.15,284.9,284.8,3468858
1/7/2003,284.8,286.05,287.6,284.3,285.2,285.05,2710431
1/8/2003,285.05,285.35,290.9,285.15,290.7,288.95,2567185
1/9/2003,288.95,290.5,297.9,290.25,297.5,296.35,5705715
1/10/2003,296.35,298.8,299,292,297,297.05,4377033
1/13/2003,297.05,297,297.3,294.5,295.25,295.25,2639730
1/14/2003,295.25,292.9,295,291.5,294.8,294.5,2871917
1/15/2003,294.5,292,293.5,287.4,291.55,290.8,3966366
1/16/2003,290.8,290.8,292.95,288.35,292,291.45,2460285
1/17/2003,291.45,292.5,293.75,290.6,293,292.35,1888939
1/20/2003,292.35,292.55,293.95,288.75,289.25,289.85,1480731
1/21/2003,289.85,290,293,288,292.2,292.1,1862633
1/22/2003,292.1,292.5,297.5,291.3,296,296.05,3875298
1/23/2003,296.05,297,300,291.6,292.2,292.7,3283681
1/24/2003,292.7,293.4,293.4,281.25,282.8,282.65,4079518
1/27/2003,282.65,282.25,284.9,270.4,273.9,273.35,4880373
1/28/2003,273.35,270.35,279.7,269.3,279.2,278.65,5259578
1/29/2003,278.65,310,310,271.35,272.3,273.15,3102893
1/30/2003,273.15,273.15,275.9,266.65,268,268.4,5186530
1/31/2003,268.4,267,279.5,263.3,275.7,275.05,12299612
2/3/2003,275.05,282,282.5,276.55,282.3,281.35,4080381
2/4/2003,281.35,284.2,286.35,280.25,280.75,281.4,4478622
2/5/2003,281.4,279.7,284,277.65,283.55,282.55,3363936
2/6/2003,282.55,283,285.85,282.1,285.1,285.05,2965780
2/7/2003,285.05,285.5,286.8,277.4,280.3,280.75,3944593
2/10/2003,280.75,280.7,282.9,279,281.1,281.65,2918920
2/11/2003,281.65,282.2,283.85,280.3,283.25,282.45,2462346
2/12/2003,282.45,281.55,282.9,278.55,281.8,281.2,2632766
2/14/2003,281.2,281.7,284.9,280.2,284.55,284.1,3708450
2/17/2003,284.1,287.4,292.5,287.15,292.15,291.8,3163812
2/18/2003,291.8,293,293.8,288.8,290.2,289.65,2327667
2/19/2003,289.65,291.05,292.85,289.3,289.7,290.35,1859557
2/20/2003,290.35,290,290.9,287.05,288.8,288.9,1547297
2/21/2003,288.9,289.15,295.9,289,294.75,294.9,4517701
2/24/2003,294.9,297.15,303.75,297.15,302.1,302.7,9498820
2/25/2003,302.7,300,301.55,294.75,295,295.55,4962908
2/26/2003,295.55,296.65,297.9,291.5,291.65,292.6,3927725
2/27/2003,292.6,291.3,297,290.3,294.8,295.4,4252731
2/28/2003,295.4,297,302.8,292.55,294.2,294.75,7407437
3/3/2003,294.75,295,301.2,293.25,295.5,295.8,6568547
3/4/2003,295.8,294.1,296.75,291,292.65,292.2,2678815
3/5/2003,292.2,290.55,290.9,283.15,288.8,288.95,5714701
3/6/2003,288.95,288.05,288.6,284.25,284.5,285.35,2460354
3/7/2003,285.35,278,282.9,278,281.2,281,3363294
3/10/2003,281,280.9,281.6,274.55,276.25,276.95,3990040
3/11/2003,276.95,275,287.4,274.1,286.7,285.15,4118775
3/12/2003,285.15,285,285.85,276.55,277,278.3,2537990
3/13/2003,278.3,278,280.9,275.4,278.6,277.95,3577231
3/17/2003,277.95,278,280.9,275.25,280.4,279.55,4017792
3/19/2003,279.55,282,285.7,281.55,285.3,285.05,3524481
3/20/2003,285.05,280,295.9,280,295.5,293.35,5099545
3/21/2003,293.35,291.6,294.95,285.3,292.5,293.5,4093968
3/22/2003,293.5,297,300.9,293.05,293.6,294.45,1023238
3/24/2003,294.45,292.9,292.9,281.55,282,282.85,3978037
3/25/2003,282.85,279,286.7,277.15,286,285.7,3507508
3/26/2003,285.7,286.5,288.15,282.6,283.85,284.5,2791345
3/27/2003,284.5,282.9,283.65,279.2,279.5,280.5,2501955
3/28/2003,280.5,280.9,286.4,280.15,284.65,285.45,3051450
3/31/2003,285.45,281.1,282.8,275.6,276.2,278.1,3356489
4/1/2003,278.1,276,282.75,276,282.15,281.05,2662922
4/2/2003,281.05,282.55,286,281,281.25,282.3,2499790
4/3/2003,282.3,283,287,282.05,286.5,285.5,2228894
4/4/2003,285.5,286.15,294.1,286.15,293.5,293.45,4914794
4/7/2003,293.45,295.25,302,295,301.35,300.15,4929495
4/8/2003,300.15,298,298.8,294.5,296.5,296.15,3025909
4/9/2003,296.15,293.15,294.9,287.5,288.35,288.35,3180773
4/10/2003,288.35,287.9,288.5,282.1,284.9,285.25,2911610
4/11/2003,285.25,286.4,294,282.5,292.25,292.85,3456980
4/15/2003,292.85,293,293.2,274.15,284,282.3,5846070
4/16/2003,282.3,284.9,285.35,280.4,283.2,283.8,3023338
4/17/2003,283.8,283.8,283.8,276.15,278.55,278.15,3105149
4/21/2003,278.15,280,282,277,279.05,279.3,2161877
4/22/2003,279.3,278.65,278.8,273.75,277.5,277.4,3876796
4/23/2003,277.4,281.5,284.45,269.75,270.9,271.2,15811793
4/24/2003,271.2,273,277,271.7,274.05,273.8,6500987
4/25/2003,273.8,272,274.6,267,267.6,268.2,5532466
4/28/2003,268.2,268,273.7,264.75,272,272.2,4880945
4/29/2003,272.2,273,273.85,270.75,272.8,272.85,3156736
4/30/2003,272.85,272.75,275.5,271.05,273.25,274.45,2433276
5/2/2003,274.45,274.6,274.9,271.3,273.05,273.45,2318553
5/5/2003,273.45,275,276,269.5,269.5,270.55,2762692
5/6/2003,270.55,270,272.65,267.9,269.1,269.9,3081872
5/7/2003,269.9,266.4,268.75,265,265.65,265.55,2939450
5/8/2003,265.55,265,265.95,258,259.5,259.55,5238248
5/9/2003,259.55,257.15,263.5,257.15,260.85,261.05,3066891
5/12/2003,261.05,262,263,258.25,260.55,260.8,2117544
5/13/2003,260.8,261.9,262.85,259.75,261.9,261.75,1702560
5/14/2003,261.75,261.75,267.2,261.75,266,266.5,2832571
5/15/2003,266.5,266.65,268.4,265.1,267.8,267.35,1985716
5/16/2003,267.35,269,269.8,266.9,268.5,268.65,2180439
5/19/2003,268.65,269.05,271.15,267.5,269.05,269.1,2564055
5/20/2003,269.1,264.5,272.8,264.5,272.4,272.1,2951846
5/21/2003,272.1,272.7,273.8,269.3,271.45,271.8,2578727
5/22/2003,271.8,270.6,275.2,269.5,274.1,274.6,3004600
5/23/2003,274.6,271,271.9,269.1,269.35,270.25,1526396
5/26/2003,270.25,270,281,269,280,279.45,3028596
5/27/2003,279.45,279.1,284.4,278.3,279.95,280.45,3884253
5/28/2003,280.45,281,289.3,281,288.6,288,5123081
5/29/2003,288,289.5,294.9,286.5,293.95,293.6,4330163
5/30/2003,293.6,294,302,293,297.9,298.6,6292634
6/2/2003,298.6,299,300.4,293.35,295.25,294.55,2633889
6/3/2003,294.55,292.4,295,291.25,291.8,292.15,1322619
